ablation_factor,setting,category,representation_source,anomaly_head,aug_strength,layer_name,coreset_ratio,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,fit_sec,peak_gpu_mem_mb,img_roc_auc,img_pr_auc,px_roc_auc,sec_per_img,n_eval_images
embedding_layer,layer2,leather,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,4.4214558601379395,374.9228515625,0.9701086956521738,0.9911540302030806,0.9924799854385713,0.03722145480494345,124.0
embedding_layer,layer2,metal_nut,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,2.6960110664367676,374.9228515625,0.4868035190615836,0.7882627473013463,0.8953863338920801,0.02767006210658861,115.0
embedding_layer,layer2,pill,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,3.428361177444458,374.9228515625,0.7408619749045281,0.9465003586945426,0.9038135328078282,0.030355788990409076,167.0
embedding_layer,layer2,screw,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,2.664193868637085,374.9228515625,0.6269727403156384,0.8328683063124096,0.9574599833506523,0.027128590643405913,160.0
embedding_layer,layer2,tile,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,3.805026054382324,374.9228515625,0.8333333333333335,0.9326617419461745,0.5708769869996846,0.031050127795618825,117.0
embedding_layer,layer2,toothbrush,simclr,patchcore,strong,layer2,0.05,128.0,2117.0,1.03369140625,42.71171855926514,1.8885493278503418,361.6728515625,0.7444444444444444,0.9015118155770436,0.9459081479727739,0.0382483857018607,42.0
embedding_layer,layer2,transistor,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.258427858352661,374.9228515625,0.5708333333333333,0.5468312164267504,0.7752522903490228,0.03736424207687378,100.0
embedding_layer,layer2,wood,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,5.093041658401489,374.9228515625,0.9859649122807017,0.9959174602217938,0.7957491158481086,0.04612987252730358,79.0
embedding_layer,layer2,zipper,simclr,patchcore,strong,layer2,0.05,128.0,6272.0,3.0625,42.71171855926514,2.6204018592834473,374.9228515625,0.6838235294117647,0.8925620238486291,0.9540040391164872,0.026729806369503603,151.0
embedding_layer,layer3,bottle,simclr,patchcore,strong,layer3,0.05,256.0,1842.0,1.798828125,42.71171855926514,3.4305193424224854,368.7978515625,0.9849206349206349,0.995683797413828,0.9575576005601261,0.023162896374622023,83.0
embedding_layer,layer3,cable,simclr,patchcore,strong,layer3,0.05,256.0,1980.0,1.93359375,42.71171855926514,5.748404264450073,368.7978515625,0.6894677661169416,0.7881048005580943,0.9055593490162737,0.03180858294169108,150.0
embedding_layer,layer3,capsule,simclr,patchcore,strong,layer3,0.05,256.0,1931.0,1.8857421875,42.71171855926514,5.411900043487549,368.7978515625,0.5855604307937775,0.8483380216137957,0.9535804717408602,0.03124811251958211,132.0
embedding_layer,layer3,carpet,simclr,patchcore,strong,layer3,0.05,256.0,2470.0,2.412109375,42.71171855926514,6.715939998626709,368.7978515625,0.6773675762439808,0.8796026263001716,0.9041803574254523,0.03337313171125885,117.0
embedding_layer,layer3,grid,simclr,patchcore,strong,layer3,0.05,256.0,2332.0,2.27734375,42.71171855926514,3.4078149795532227,368.7978515625,0.6015037593984962,0.7994972323431737,0.6993069319817364,0.019937554995218914,78.0
embedding_layer,layer3,hazelnut,simclr,patchcore,strong,layer3,0.05,256.0,3450.0,3.369140625,42.71171855926514,9.906281232833862,368.7978515625,0.8967857142857143,0.9455801536477213,0.977410196033279,0.03242154988375577,110.0
