target_name,method,category,policy,quantile,threshold,precision,recall,f1,fpr
best_ssl,simclr_mild_padim,hazelnut,low_false_alarm,0.995,5581.864755859376,0.967741935483871,0.42857142857142855,0.594059405940594,0.025
best_ssl,simclr_mild_padim,leather,high_recall,0.95,1975.6354980468736,0.7666666666666667,1.0,0.8679245283018868,0.875
best_ssl,simclr_mild_padim,leather,balanced,0.98,4839.456650390621,0.8214285714285714,1.0,0.9019607843137255,0.625
best_ssl,simclr_mild_padim,leather,low_false_alarm,0.995,6607.361477050789,0.8181818181818182,0.9782608695652174,0.8910891089108911,0.625
best_ssl,simclr_mild_padim,metal_nut,high_recall,0.95,1498.7986572265625,0.9512195121951219,0.41935483870967744,0.582089552238806,0.09090909090909091
best_ssl,simclr_mild_padim,metal_nut,balanced,0.98,2028.463217773436,0.9696969696969697,0.34408602150537637,0.5079365079365079,0.045454545454545456
best_ssl,simclr_mild_padim,metal_nut,low_false_alarm,0.995,2311.953450927734,0.967741935483871,0.3225806451612903,0.4838709677419355,0.045454545454545456
best_ssl,simclr_mild_padim,pill,high_recall,0.95,5491.98515625,0.9629629629629629,0.18439716312056736,0.30952380952380953,0.038461538461538464
best_ssl,simclr_mild_padim,pill,balanced,0.98,5722.316015625,0.9615384615384616,0.1773049645390071,0.2994011976047904,0.038461538461538464
best_ssl,simclr_mild_padim,pill,low_false_alarm,0.995,5781.442529296875,0.9615384615384616,0.1773049645390071,0.2994011976047904,0.038461538461538464
best_ssl,simclr_mild_padim,screw,high_recall,0.95,12257.032275390624,0.8,0.06722689075630252,0.12403100775193798,0.04878048780487805
best_ssl,simclr_mild_padim,screw,balanced,0.98,12979.051699218748,0.8571428571428571,0.05042016806722689,0.09523809523809523,0.024390243902439025
best_ssl,simclr_mild_padim,screw,low_false_alarm,0.995,13632.623276367185,0.8333333333333334,0.04201680672268908,0.08,0.024390243902439025
best_ssl,simclr_mild_padim,tile,high_recall,0.95,2929.7700927734363,0.9642857142857143,0.32142857142857145,0.48214285714285715,0.030303030303030304
best_ssl,simclr_mild_padim,tile,balanced,0.98,3547.2047070312487,0.9523809523809523,0.23809523809523808,0.38095238095238093,0.030303030303030304
best_ssl,simclr_mild_padim,tile,low_false_alarm,0.995,3865.847502441407,0.9333333333333333,0.16666666666666666,0.2828282828282828,0.030303030303030304
best_ssl,simclr_mild_padim,toothbrush,high_recall,0.95,50094.400390625,0.9375,1.0,0.967741935483871,0.16666666666666666
best_ssl,simclr_mild_padim,toothbrush,balanced,0.98,50711.38671875,0.9375,1.0,0.967741935483871,0.16666666666666666
best_ssl,simclr_mild_padim,toothbrush,low_false_alarm,0.995,51019.8798828125,0.9375,1.0,0.967741935483871,0.16666666666666666
best_ssl,simclr_mild_padim,transistor,high_recall,0.95,24376.0234375,1.0,0.5,0.6666666666666666,0.0
best_ssl,simclr_mild_padim,transistor,balanced,0.98,27662.905468750007,1.0,0.475,0.6440677966101694,0.0
best_ssl,simclr_mild_padim,transistor,low_false_alarm,0.995,29306.346484374993,1.0,0.475,0.6440677966101694,0.0
best_ssl,simclr_mild_padim,wood,high_recall,0.95,4852.557568359365,1.0,0.31666666666666665,0.4810126582278481,0.0
best_ssl,simclr_mild_padim,wood,balanced,0.98,5740.70638671875,1.0,0.31666666666666665,0.4810126582278481,0.0
best_ssl,simclr_mild_padim,wood,low_false_alarm,0.995,5872.23189453125,1.0,0.3,0.46153846153846156,0.0
best_ssl,simclr_mild_padim,zipper,high_recall,0.95,6723.503308105462,0.9545454545454546,0.35294117647058826,0.5153374233128835,0.0625
best_ssl,simclr_mild_padim,zipper,balanced,0.98,8255.464785156248,0.9534883720930233,0.3445378151260504,0.5061728395061729,0.0625
best_ssl,simclr_mild_padim,zipper,low_false_alarm,0.995,8899.10911621094,0.9512195121951219,0.3277310924369748,0.4875,0.0625
best_overall,imagenet_padim,MEAN,balanced,,,0.937310015866048,0.653392799867884,0.7260544462924963,0.10444692493513398
best_overall,imagenet_padim,MEAN,high_recall,,,0.9300659177540377,0.7161334680828021,0.7818400548562707,0.13843674550104149
best_overall,imagenet_padim,MEAN,low_false_alarm,,,0.9387896111447794,0.6363863769967607,0.7067537828059144,0.09659338958159862
best_ssl,simclr_mild_padim,MEAN,balanced,,,0.9576167635398694,0.38885512382766174,0.4820385413964786,0.07408361904385234
best_ssl,simclr_mild_padim,MEAN,high_recall,,,0.9324872406517437,0.4243555443321717,0.5240537632341263,0.10714716329326707
best_ssl,simclr_mild_padim,MEAN,low_false_alarm,,,0.9541504664144319,0.3729407907552104,0.46072213828134234,0.07408361904385234
