category,method,run_mode,representation_source,anomaly_head,aug_strength,backbone_name,layers,img_size,coreset_ratio,img_roc_auc,img_pr_auc,px_roc_auc,fit_sec,sec_per_img,n_eval_images,feature_dim,memory_bank_n,memory_bank_mb,checkpoint_size_mb,peak_gpu_mem_mb
metal_nut,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9481915933528836,0.9868899868958341,0.9321012009363445,3.203477621078491,0.019330290089482848,115.0,100.0,196.0,7.55157470703125,,
metal_nut,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.22287390029325516,0.6817571899469541,0.6368307840078973,14.453984022140503,0.018597841262817383,115.0,,,,0.9917840957641602,
pill,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.7741407528641572,0.9545646282941354,0.9225998933671616,5.142001390457153,0.02738008527698631,167.0,256.0,2352.0,2.296875,,
pill,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.8930714675395526,0.9756720352967858,0.9483599755261444,5.052676439285278,0.022730199162831564,167.0,100.0,196.0,7.55157470703125,,
pill,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.5406437534097108,0.8640157719577839,0.437815826621562,24.200546264648438,0.02411901451156525,167.0,,,,0.9911489486694336,
screw,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.491699118671859,0.7682292816525575,0.9457477533118702,4.776544570922852,0.021541309356689454,160.0,256.0,2822.0,2.755859375,,
screw,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.8216847714695634,0.9117397649515004,0.9701163346064068,4.805210828781128,0.0177759513258934,160.0,100.0,196.0,7.55157470703125,,
screw,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.14408690305390448,0.5739815179208478,0.8511231083569198,22.31438112258911,0.017138607800006866,160.0,,,,0.9917154312133789,
tile,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8986291486291487,0.958926105192933,0.8932218989750376,5.2065229415893555,0.029661476102649655,117.0,256.0,2029.0,1.9814453125,,
tile,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9880952380952381,0.995492527127523,0.9060082405644913,4.8295674324035645,0.027093962726429995,117.0,100.0,196.0,7.55157470703125,,
tile,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.8914141414141414,0.9579111472720327,0.500050334696504,23.634756326675415,0.02630701635637854,117.0,,,,0.9911489486694336,
toothbrush,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.6888888888888889,0.8860532042102642,0.9793437405911718,2.466383457183838,0.042978587604704355,42.0,256.0,529.0,0.5166015625,,
toothbrush,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.8805555555555556,0.9453998477094891,0.9800612934572502,2.054340124130249,0.04246761117662702,42.0,100.0,196.0,7.55157470703125,,
toothbrush,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.2777777777777778,0.6075724996339423,0.36184649711424677,10.489346027374268,0.040400874047052296,42.0,,,,0.9918012619018555,
transistor,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8200000000000001,0.8113774069375248,0.9020097204892477,6.1607911586761475,0.03487013816833496,100.0,256.0,1882.0,1.837890625,,
transistor,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.94375,0.9306883518374789,0.9761645289783621,6.070998191833496,0.033367342948913574,100.0,100.0,196.0,7.55157470703125,,
transistor,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.3745833333333333,0.40432426137680444,0.4241593088878497,28.602478504180908,0.033022511005401614,100.0,,,,0.9918012619018555,
wood,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.9859649122807017,0.9957967642283455,0.8964111637513547,7.836278915405273,0.043389540684374076,79.0,256.0,2176.0,2.125,,
wood,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.962280701754386,0.9879199410283267,0.9112428884450141,7.460995674133301,0.03991785532311548,79.0,100.0,196.0,7.55157470703125,,
wood,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.9675438596491228,0.9911943690833528,0.6851660399827729,36.926997900009155,0.03963756259483627,79.0,,,,0.9911489486694336,
zipper,imagenet_patchcore,full,imagenet,patchcore,none,resnet18_imagenet,layer3,224,0.05,0.8849789915966386,0.9540185738283528,0.96841820666692,3.7626259326934814,0.020960269384826254,151.0,256.0,2117.0,2.0673828125,,
zipper,imagenet_padim,full,imagenet,padim,none,resnet18_imagenet,layer3,224,,0.9343487394957983,0.9734878078766588,0.9584219356236149,3.3877809047698975,0.017918435153582237,151.0,100.0,196.0,7.55157470703125,,
zipper,autoencoder,full,none,autoencoder,none,small_conv_ae,reconstruction_error,224,,0.6016281512605043,0.8311824930078887,0.5728478518656874,16.802184104919434,0.017439258019655745,151.0,,,,0.9917325973510742,
bottle,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.9730158730158729,0.9917378794036555,0.9620297473744747,3.4631426334381104,0.024428752531488258,83.0,256.0,1842.0,1.798828125,42.7114782333374,322.041015625
bottle,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.9817460317460316,0.9950483502484695,0.9568895544624063,3.3455710411071777,0.02307213358132236,83.0,256.0,1842.0,1.798828125,42.71171855926514,322.041015625
bottle,simclr_mild_padim,full,simclr,padim,mild,resnet18_imagenet,layer3,224,,0.9833333333333334,0.9949221461125537,0.9538515898603386,3.674812078475952,0.022035345973738706,83.0,100.0,196.0,7.55157470703125,42.7114782333374,322.041015625
bottle,simclr_strong_padim,full,simclr,padim,strong,resnet18_imagenet,layer3,224,,0.9706349206349206,0.991486996123528,0.9499465201621254,3.514843225479126,0.022266491349921168,83.0,100.0,196.0,7.55157470703125,42.71171855926514,322.041015625
cable,simclr_mild_patchcore,full,simclr,patchcore,mild,resnet18_imagenet,layer3,224,0.05,0.7528110944527736,0.8206640148560289,0.9091797954309548,5.663316011428833,0.03263875643412272,150.0,256.0,1980.0,1.93359375,42.7114782333374,322.041015625
cable,simclr_strong_patchcore,full,simclr,patchcore,strong,resnet18_imagenet,layer3,224,0.05,0.6709145427286357,0.7696452042245272,0.9053402702263504,5.634520530700684,0.0329840612411499,150.0,256.0,1980.0,1.93359375,42.71171855926514,322.041015625
